PINN Training Results
==================================================
Final c value: 1.000249
Error in c: 0.000249
Final training loss: 1.526947e-06

Training History:
Epoch 126: loss=6.509024e-03, c=0.500000
Epoch 127: loss=6.499141e-03, c=0.500000
Epoch 128: loss=6.530419e-03, c=0.500000
Epoch 129: loss=6.432457e-03, c=0.500000
Epoch 130: loss=6.489340e-03, c=0.500000
Epoch 131: loss=6.355464e-03, c=0.500000
Epoch 132: loss=6.310672e-03, c=0.500000
Epoch 133: loss=6.416183e-03, c=0.500000
Epoch 134: loss=6.300138e-03, c=0.500000
Epoch 135: loss=6.476163e-03, c=0.500000
Epoch 136: loss=6.624860e-03, c=0.500000
Epoch 137: loss=6.674215e-03, c=0.500000
Epoch 138: loss=6.625213e-03, c=0.500000
Epoch 139: loss=6.665844e-03, c=0.500000
Epoch 140: loss=6.491598e-03, c=0.500000
Epoch 141: loss=6.598976e-03, c=0.500000
Epoch 142: loss=6.578928e-03, c=0.500000
Epoch 143: loss=6.519066e-03, c=0.500000
Epoch 144: loss=6.431679e-03, c=0.500000
Epoch 145: loss=6.370793e-03, c=0.500000
Epoch 146: loss=6.485790e-03, c=0.500000
Epoch 147: loss=6.404982e-03, c=0.500000
Epoch 148: loss=6.294482e-03, c=0.500000
Epoch 149: loss=6.319072e-03, c=0.500000
Epoch 150: loss=6.241777e-03, c=0.500000
Epoch 151: loss=6.253023e-03, c=0.500000
Epoch 152: loss=6.257897e-03, c=0.508688
Epoch 153: loss=6.037905e-03, c=0.516603
Epoch 154: loss=5.797878e-03, c=0.523908
Epoch 155: loss=5.358251e-03, c=0.531401
Epoch 156: loss=5.136026e-03, c=0.539297
Epoch 157: loss=4.889386e-03, c=0.547457
Epoch 158: loss=4.650244e-03, c=0.555799
Epoch 159: loss=4.498350e-03, c=0.564102
Epoch 160: loss=4.415317e-03, c=0.572075
Epoch 161: loss=4.358594e-03, c=0.579547
Epoch 162: loss=4.164093e-03, c=0.586786
Epoch 163: loss=4.018910e-03, c=0.594071
Epoch 164: loss=3.808795e-03, c=0.601556
Epoch 165: loss=3.551377e-03, c=0.609148
Epoch 166: loss=3.246900e-03, c=0.616664
Epoch 167: loss=2.955667e-03, c=0.623841
Epoch 168: loss=2.639458e-03, c=0.630593
Epoch 169: loss=2.370224e-03, c=0.637095
Epoch 170: loss=2.193252e-03, c=0.643585
Epoch 171: loss=2.064198e-03, c=0.650169
Epoch 172: loss=1.981332e-03, c=0.656791
Epoch 173: loss=1.903568e-03, c=0.663272
Epoch 174: loss=1.838762e-03, c=0.669441
Epoch 175: loss=1.760614e-03, c=0.675266
Epoch 176: loss=1.692151e-03, c=0.680912
Epoch 177: loss=1.643559e-03, c=0.686547
Epoch 178: loss=1.569918e-03, c=0.692230
Epoch 179: loss=1.480051e-03, c=0.697871
Epoch 180: loss=1.410909e-03, c=0.703332
Epoch 181: loss=1.311899e-03, c=0.708502
Epoch 182: loss=1.235503e-03, c=0.713446
Epoch 183: loss=1.149722e-03, c=0.718295
Epoch 184: loss=1.081291e-03, c=0.723124
Epoch 185: loss=1.030732e-03, c=0.727934
Epoch 186: loss=9.642292e-04, c=0.732661
Epoch 187: loss=9.291670e-04, c=0.737211
Epoch 188: loss=8.905404e-04, c=0.741551
Epoch 189: loss=8.365118e-04, c=0.745733
Epoch 190: loss=8.153864e-04, c=0.749856
Epoch 191: loss=7.731420e-04, c=0.753961
Epoch 192: loss=7.404750e-04, c=0.758000
Epoch 193: loss=7.305038e-04, c=0.761941
Epoch 194: loss=6.887760e-04, c=0.765718
Epoch 195: loss=6.728955e-04, c=0.769353
Epoch 196: loss=6.453610e-04, c=0.772908
Epoch 197: loss=6.152483e-04, c=0.776425
Epoch 198: loss=5.926256e-04, c=0.779903
Epoch 199: loss=5.575699e-04, c=0.783296
Epoch 200: loss=5.473244e-04, c=0.786581
Epoch 201: loss=5.293259e-04, c=0.789778
Epoch 202: loss=5.073756e-04, c=0.792895
Epoch 203: loss=4.911268e-04, c=0.795954
Epoch 204: loss=4.789133e-04, c=0.798962
Epoch 205: loss=4.643921e-04, c=0.801913
Epoch 206: loss=4.622311e-04, c=0.804792
Epoch 207: loss=4.607615e-04, c=0.807600
Epoch 208: loss=4.630061e-04, c=0.810323
Epoch 209: loss=4.763258e-04, c=0.813003
Epoch 210: loss=4.929789e-04, c=0.815633
Epoch 211: loss=5.231702e-04, c=0.818241
Epoch 212: loss=5.613536e-04, c=0.820787
Epoch 213: loss=6.252495e-04, c=0.823279
Epoch 214: loss=7.429266e-04, c=0.825689
Epoch 215: loss=9.171258e-04, c=0.828092
Epoch 216: loss=1.196469e-03, c=0.830433
Epoch 217: loss=1.596503e-03, c=0.832808
Epoch 218: loss=2.121123e-03, c=0.835093
Epoch 219: loss=2.749165e-03, c=0.837411
Epoch 220: loss=3.308453e-03, c=0.839626
Epoch 221: loss=3.566737e-03, c=0.841918
Epoch 222: loss=3.176967e-03, c=0.844162
Epoch 223: loss=2.207244e-03, c=0.846445
Epoch 224: loss=1.018389e-03, c=0.848641
Epoch 225: loss=2.980532e-04, c=0.850772
Epoch 226: loss=3.786392e-04, c=0.852829
Epoch 227: loss=9.846363e-04, c=0.854809
Epoch 228: loss=1.447527e-03, c=0.856813
Epoch 229: loss=1.283764e-03, c=0.858777
Epoch 230: loss=6.961230e-04, c=0.860749
Epoch 231: loss=2.373769e-04, c=0.862655
Epoch 232: loss=2.858446e-04, c=0.864494
Epoch 233: loss=6.469056e-04, c=0.866286
