Date_time,Tank1_Depth,CSO8_Depth,C14_Flow
01-Jan-2000 00:00:00,0.0003331900692500188,0.0,0.0
01-Jan-2000 00:05:00,0.0014124855466466032,0.0,0.00017275621846166863
01-Jan-2000 00:10:00,0.0033982308262935634,0.0,0.00014259570481510336
01-Jan-2000 00:15:00,0.005832083140455572,0.0,0.0003362113899493855
01-Jan-2000 00:20:00,0.00882575368146373,0.0,0.0006386745112714515
01-Jan-2000 00:25:00,0.01218333035080053,0.0,0.0010648594426735734
01-Jan-2000 00:30:00,0.015799268984218746,0.0,0.0016181356399564174
01-Jan-2000 00:35:00,0.019561333594232504,0.0,0.0022896566268440287
01-Jan-2000 00:40:00,0.023362443013359248,0.0,0.0030586298403994044
01-Jan-2000 00:45:00,0.02717604501026438,0.0,0.003907294131987847
01-Jan-2000 00:50:00,0.03106991669940803,0.0,0.0048351778319267215
01-Jan-2000 00:55:00,0.03503271426111204,0.0,0.0058545582877910325
01-Jan-2000 01:00:00,0.03878401233528209,0.0,0.006913035552114704
01-Jan-2000 01:05:00,0.042041931872092986,0.021718068136589944,0.007899910148212718
01-Jan-2000 01:10:00,0.044904896251251936,0.03769453508278192,0.008792528527773404
01-Jan-2000 01:15:00,0.04775036516438663,0.04972647516690158,0.00965489411836543
01-Jan-2000 01:20:00,0.05124323257721793,0.060516351744248326,0.01068186388091453
01-Jan-2000 01:25:00,0.05633463916864341,0.06501142785660402,0.012194637939423674
01-Jan-2000 01:30:00,0.06466828677764595,0.06752235087217132,0.014790028665857869
01-Jan-2000 01:35:00,0.07712344202402475,0.06553416541426274,0.0191287759021483
01-Jan-2000 01:40:00,0.09104049001899699,0.06848322830751664,0.024614761925357286
01-Jan-2000 01:45:00,0.10395633206981109,0.06738511388096756,0.02863628443137657
01-Jan-2000 01:50:00,0.1162941801126214,0.06401965528989484,0.03170624898807836
01-Jan-2000 01:55:00,0.12852438423812765,0.061137932813945445,0.034454423191693256
01-Jan-2000 02:00:00,0.14018263164624364,0.07136288302849118,0.036928194467511784
01-Jan-2000 02:05:00,0.15036673936804648,0.07663747889691605,0.03899618053693422
01-Jan-2000 02:10:00,0.15938200341453138,0.07376782928150875,0.040709889389081086
01-Jan-2000 02:15:00,0.16821059221313667,0.06980508083799875,0.04228074788278937
01-Jan-2000 02:20:00,0.17780409231720729,0.06644497445517737,0.0438769055010086
01-Jan-2000 02:25:00,0.19032074461452164,0.06344065205750302,0.045793602592947624
01-Jan-2000 02:30:00,0.20530955153022526,0.06068734227633586,0.04810767356053914
01-Jan-2000 02:35:00,0.22061847765306403,0.05817939406150398,0.050404262579185885
01-Jan-2000 02:40:00,0.23509049130636914,0.0558459244060746,0.05253952318244273
01-Jan-2000 02:45:00,0.24714653728944128,0.058479485719111386,0.054322336459295704
01-Jan-2000 02:50:00,0.25645800807569286,0.0579694329698734,0.055658431820980625
01-Jan-2000 02:55:00,0.26334208548449217,0.05541084671819429,0.056622843752718
01-Jan-2000 03:00:00,0.26883359086646164,0.05319133695791199,0.05735548382890242
01-Jan-2000 03:05:00,0.2745309724445003,0.05118596588167032,0.05807146335094535
01-Jan-2000 03:10:00,0.2803727151692338,0.04935617267479928,0.05881379158378885
01-Jan-2000 03:15:00,0.28629046862849405,0.05252423812056152,0.059543658328005934
01-Jan-2000 03:20:00,0.29229949083925144,0.052571401857674636,0.0602898572830657
01-Jan-2000 03:25:00,0.29838107040203415,0.0552407057438085,0.061018863991755004
01-Jan-2000 03:30:00,0.3054692832306637,0.054927382539708657,0.06184154828507176
01-Jan-2000 03:35:00,0.3129515156020446,0.058994383318006306,0.06273570651759107
01-Jan-2000 03:40:00,0.3194191996990804,0.058920380422362015,0.06352415456633388
01-Jan-2000 03:45:00,0.3252194050893763,0.060960016477979606,0.06420045089886163
01-Jan-2000 03:50:00,0.3308028916827427,0.06007502453983626,0.06484929736455597
